Country (or dependent territory),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Trinidad and Tobago,19141.0,20296.0,22087.0,25649.0,28267.0,30872.0,36338.0,38908.0,40957.0,39231.0
Tunisia,57980.0,61537.0,63322.0,67609.0,73753.0,78718.0,85402.0,93595.0,99432.0,103115.0
Turkey,700332.0,674933.0,729649.0,786931.0,887212.0,997317.0,1099523.0,1186190.0,1218790.0,1167440.0
Turkmenistan,17340.0,21346.0,25097.0,29967.0,35292.0,41146.0,47067.0,53684.0,62782.0,67060.0
Tuvalu,23.0,24.0,26.0,26.0,26.0,26.0,27.0,29.0,32.0,30.0
Uganda,28019.0,31162.0,33881.0,36677.0,39848.0,45210.0,49890.0,55370.0,62317.0,67777.0
Ukraine,201840.0,224549.0,240135.0,268138.0,307825.0,327321.0,363065.0,403452.0,420235.0,359066.0
United Arab Emirates,307829.0,318806.0,331800.0,368168.0,414257.0,448041.0,507273.0,537816.0,565750.0,539606.0
United Kingdom,1574817.0,1654262.0,1716650.0,1808682.0,1899695.0,2017179.0,2135438.0,2244917.0,2281589.0,2201747.0
United States,10250950.0,10581925.0,10929100.0,11456450.0,12217175.0,13039200.0,13815600.0,14474250.0,14769850.0,14478050.0
Uruguay,36329.0,35861.0,33852.0,35324.0,37955.0,41809.0,44866.0,49093.0,53625.0,56258.0
Uzbekistan,65765.0,70071.0,74010.0,78640.0,86727.0,95708.0,106061.0,119275.0,132503.0,144154.0
Vanuatu,357.0,352.0,339.0,361.0,385.0,418.0,468.0,494.0,532.0,551.0
Venezuela,283914.0,300164.0,277846.0,261357.0,317449.0,361186.0,409088.0,456921.0,490261.0,477603.0
Vietnam,197635.0,216021.0,234921.0,257144.0,284615.0,315695.0,348145.0,383045.0,412493.0,437546.0
Palestine,7754.0,7190.0,6390.0,7430.0,9302.0,10677.0,10897.0,11615.0,12717.0,13899.0
Yemen,51480.0,54642.0,57677.0,61020.0,65147.0,70947.0,75455.0,80081.0,84594.0,88427.0
Zambia,17114.0,18430.0,19561.0,21332.0,23445.0,25930.0,28842.0,32096.0,35255.0,38752.0
Zimbabwe,28184.0,28688.0,26890.0,22972.0,22110.0,21113.0,20990.0,20824.0,17759.0,19195.0
