Country (or dependent territory),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Eswatini,1010.0,1182.0,1273.0,1316.0,1397.0,1469.0,1777.0,2003.0,2231.0,2536.0,2890.0,3041.0,3211.0,3389.0,3544.0,3793.0,4011.0,4207.0,4365.0,4557.0,4742.0,4900.0,5195.0,5503.0,5855.0,6401.0,6994.0,7501.0,7708.0,7879.0,8276.0,8638,8922,9465,9633,9728,9698,9457,9913,10317
Ethiopia,10496.0,11489.0,12316.0,13803.0,13971.0,12768.0,14287.0,16672.0,17359.0,17957.0,19113.0,18334.0,17081.0,19823.0,20952.0,22701.0,26245.0,27455.0,26602.0,28675.0,32210.0,35373.0,36499.0,36437.0,41793.0,48535.0,55786.0,64054.0,72594.0,80366.0,89953.0,102289,112533,122434,148487,167119,194652,215094,237196,263259
Fiji,1709.0,1983.0,2082.0,2073.0,2364.0,2347.0,2552.0,2427.0,2600.0,3077.0,3377.0,3397.0,3687.0,3872.0,4157.0,4354.0,4647.0,4613.0,4726.0,5209.0,5237.0,5457.0,5719.0,5878.0,6362.0,6476.0,6803.0,6924.0,7127.0,7073.0,7372.0,7729,8283,8942,9832,10782,11020,11784,12525,12692
Finland,45540.0,50493.0,55268.0,59226.0,63335.0,67649.0,70892.0,75231.0,81943.0,89488.0,93033.0,90518.0,89531.0,91046.0,96676.0,102866.0,108591.0,117460.0,125264.0,132593.0,143425.0,150483.0,155438.0,161682.0,172649.0,183014.0,196259.0,212244.0,218010.0,201691.0,210619.0,220471,221286,225680,228059,232930,246904,262075,271400,279966
France,577983.0,639613.0,695400.0,732070.0,771208.0,808393.0,843227.0,886787.0,959978.0,1042227.0,1113979.0,1162525.0,1206655.0,1228309.0,1283855.0,1340063.0,1383547.0,1439750.0,1508628.0,1580049.0,1681925.0,1754335.0,1801638.0,1852686.0,1951598.0,2047419.0,2166062.0,2278489.0,2324835.0,2274591.0,2344241.0,2446475,2474005,2608524,2662033,2719224,2863816,2997297,3125387,3239760
Gabon,6630.0,6967.0,7701.0,8163.0,8872.0,9683.0,9671.0,8384.0,8983.0,10776.0,11755.0,12896.0,12783.0,13602.0,14409.0,15443.0,16295.0,17528.0,18341.0,16936.0,16994.0,17750.0,18061.0,18730.0,19448.0,19901.0,20123.0,21976.0,22785.0,22409.0,24100.0,26345,26868,27464,28956,28630,28685,30987,31995,33842
Gambia,724.0,717.0,919.0,1085.0,1038.0,1110.0,1159.0,1221.0,1286.0,1394.0,1528.0,1614.0,1680.0,1786.0,1762.0,1859.0,1948.0,2009.0,2164.0,2335.0,2520.0,2725.0,2678.0,2918.0,3208.0,3230.0,3312.0,3505.0,3795.0,4074.0,4367.0,4095,4191,4166,4103,4311,4446,4589,5038,5447
Georgia,,,,,,,,,,,,,,,8430.0,8831.0,9937.0,11171.0,11648.0,12151.0,12655.0,13562.0,14527.0,16452.0,17872.0,20200.0,22785.0,26345.0,27499.0,26665.0,28656.0,31405,36640,39451,43054,45036,47930,50663,54385,58116
Germany,855295.0,937245.0,987315.0,1041928.0,1110043.0,1170245.0,1222667.0,1271318.0,1365314.0,1474374.0,1617093.0,1755564.0,1830039.0,1855111.0,1940192.0,2011395.0,2064932.0,2138041.0,2205789.0,2279076.0,2398385.0,2493790.0,2527570.0,2559339.0,2659156.0,2762460.0,2956298.0,3126729.0,3217262.0,3053452.0,3219486.0,3415020,3487234,3628559,3807115,3890125,4164749,4411728,4566190,4696684
Ghana,12858.0,13546.0,13189.0,12853.0,14565.0,15992.0,17324.0,18935.0,20871.0,22674.0,24368.0,26395.0,28204.0,30251.0,31981.0,34033.0,36308.0,39075.0,41494.0,43985.0,46599.0,49472.0,52564.0,56341.0,60980.0,66811.0,72878.0,77898.0,86544.0,92048.0,100391.0,116773,133277,140883,151592,144984,142203,148983,161999,175629
Greece,84245.0,90780.0,95300.0,97964.0,103537.0,109495.0,112275.0,112455.0,121413.0,130967.0,135869.0,144821.0,149154.0,150247.0,156525.0,163163.0,170907.0,181649.0,190849.0,199483.0,212000.0,225731.0,238244.0,257023.0,277280.0,287690.0,313327.0,332332.0,337569.0,325123.0,310824.0,285079,275156,284524,290196,289223,296000,307521,319776,331540
Grenada,192.0,213.0,236.0,253.0,272.0,298.0,326.0,365.0,389.0,419.0,453.0,475.0,482.0,484.0,503.0,525.0,558.0,596.0,673.0,731.0,785.0,786.0,826.0,922.0,941.0,1099.0,1088.0,1185.0,1220.0,1146.0,1154.0,1187,1200,1286,1420,1551,1657,1798,1921,1969
Guatemala,19183.0,21133.0,21644.0,21923.0,22830.0,23411.0,23906.0,25374.0,27291.0,29480.0,31531.0,33576.0,35920.0,38022.0,40193.0,42842.0,44848.0,47491.0,50235.0,52828.0,55375.0,57981.0,61385.0,64234.0,67917.0,72193.0,78570.0,85574.0,90410.0,91564.0,95265.0,101567,107165,112026,118754,127566,130131,133883,141635,149744
Guinea,2740.0,3018.0,3262.0,3434.0,3608.0,3908.0,4111.0,4351.0,4789.0,5176.0,5602.0,5936.0,6270.0,6742.0,7162.0,7654.0,8142.0,8712.0,9131.0,9612.0,10076.0,10680.0,11407.0,11777.0,12376.0,13147.0,13891.0,15196.0,16128.0,15982.0,16857.0,18173,18497,19731,20122,20799,24400,29177,31773,34168
Guinea-Bissau,439.0,478.0,529.0,531.0,581.0,625.0,631.0,683.0,721.0,771.0,836.0,928.0,978.0,1024.0,1077.0,1144.0,1209.0,1303.0,1022.0,1211.0,1252.0,1341.0,1412.0,1436.0,1492.0,1639.0,1735.0,1827.0,1947.0,2007.0,2145.0,2367,2307,2386,2510,3050,3288,3832,4055,4313
Guyana,1885.0,2075.0,2008.0,1847.0,1954.0,2023.0,2059.0,2107.0,2051.0,2026.0,2039.0,2235.0,2463.0,2728.0,3023.0,3242.0,3564.0,3850.0,3827.0,3997.0,4032.0,4216.0,4331.0,4388.0,4576.0,4628.0,5015.0,5513.0,5729.0,5957.0,6292.0,6772,7916,8370,8360,8594,8714,9307,9952,10673
Haiti,10024.0,11088.0,11444.0,11714.0,12161.0,12641.0,12930.0,13193.0,13735.0,14112.0,14575.0,15259.0,15255.0,14848.0,13405.0,15040.0,15950.0,16664.0,17219.0,17935.0,18501.0,18853.0,19348.0,20417.0,20689.0,21993.0,23073.0,24812.0,25960.0,27665.0,26415.0,28339,28318,30706,31283,31002,33431,34631,36049,36076
Honduras,5113.0,5738.0,6008.0,6186.0,6688.0,7188.0,7386.0,8025.0,8691.0,9422.0,9784.0,10444.0,11283.0,12270.0,12369.0,13143.0,13863.0,14806.0,15407.0,15510.0,17017.0,17875.0,18835.0,20080.0,21904.0,23958.0,26319.0,28703.0,30491.0,29940.0,31431.0,33314,34844,36446,39876,43955,47719,52444,55762,58265
